Name,Type
https://www.notion.so/,Software
中学校教諭一種免許状（国語）,Qualification
Google Sheets,Software
https://www.python.org/,Programming
https://scikit-learn.org/,Programming
https://pytorch.org/,Programming
https://www.tensorflow.org/,Programming
HTML,Programming
CSS,Programming
JavaScript,Programming
TypeScript,Programming
https://react.dev/,Programming
https://gohugo.io/,Programming
https://www.java.com/,Programming
Korean,Language
French,Language
English,Language
https://openai.com/chatgpt/,AI
https://claude.ai/,AI
https://www.perplexity.ai/,AI
https://consensus.app/,AI
https://www.connectedpapers.com/,AI
高等学校教諭一種免許状（国語）,Qualification
,
中学校教諭一種免許状（英語）,Qualification
高等学校教諭一種免許状（書道）,Qualification
高等学校教諭一種免許状（英語）,Qualification
